City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Obo,CF,2022-07-13 17:21:07,5.3998,26.4869,71.82,86,100,2.01
179,Pangnirtung,CA,2022-07-13 17:21:07,66.1451,-65.7125,46.4,87,75,13.8
180,Yarmouth,US,2022-07-13 17:21:07,41.7057,-70.2286,90.61,56,0,5.75
181,Kavieng,PG,2022-07-13 17:21:08,-2.5744,150.7967,80.67,79,100,6.33
182,Zawiercie,PL,2022-07-13 17:21:08,50.4877,19.4168,78.44,58,81,5.53
183,Moyale,KE,2022-07-13 17:22:08,3.5167,39.0584,71.24,36,83,8.48
184,Vestmannaeyjar,IS,2022-07-13 17:22:09,63.4427,-20.2734,50.99,81,75,10.36
185,Ulaangom,MN,2022-07-13 17:22:09,49.9811,92.0667,59.18,47,100,10.07
186,Cabatuan,PH,2022-07-13 17:22:09,10.8794,122.486,74.86,93,85,2.64
187,Godollo,HU,2022-07-13 17:22:10,47.5966,19.3551,85.24,21,0,13.8
188,Georgetown,MY,2022-07-13 17:22:10,5.4112,100.3354,81.95,93,40,1.14
189,Verkhnyaya Toyma,RU,2022-07-13 17:22:10,62.2349,44.9985,66.34,97,100,7.47
190,Lebu,CL,2022-07-13 17:19:48,-37.6167,-73.65,46.0,83,100,1.72
191,Alexandria,EG,2022-07-13 17:20:52,31.2156,29.9553,77.76,64,0,17.67
192,Togur,RU,2022-07-13 17:22:11,58.3631,82.8265,54.16,60,95,2.21
193,Tuatapere,NZ,2022-07-13 17:22:11,-46.1333,167.6833,44.17,86,100,6.64
194,Tonekabon,IR,2022-07-13 17:22:12,36.8163,50.8738,80.55,68,0,0.78
195,Huarmey,PE,2022-07-13 17:17:23,-10.0681,-78.1522,67.68,68,11,11.52
196,Port Elizabeth,ZA,2022-07-13 17:22:12,-33.918,25.5701,56.32,83,0,14.97
197,Markova,UA,2022-07-13 17:22:12,48.6758,24.4138,67.6,59,79,11.74
198,Santa Comba,ES,2022-07-13 17:22:13,43.0331,-8.8093,85.55,22,57,3.51
199,Ketchikan,US,2022-07-13 17:22:13,55.3422,-131.6461,55.87,94,100,13.8
200,Yeniseysk,RU,2022-07-13 17:22:13,58.4497,92.1703,55.87,60,82,4.56
201,Kichera,RU,2022-07-13 17:22:14,55.9375,110.0997,59.77,76,26,5.03
202,Miandrivazo,MG,2022-07-13 17:22:14,-19.5167,45.4667,74.55,39,0,2.62
203,Mago,RU,2022-07-13 17:22:14,53.2514,140.1822,64.33,95,95,3.11
204,Port Hedland,AU,2022-07-13 17:22:15,-20.3167,118.5667,55.45,67,9,8.05
205,Sola,VU,2022-07-13 17:22:15,-13.8833,167.55,80.62,71,14,9.73
206,Makakilo City,US,2022-07-13 17:22:15,21.3469,-158.0858,77.32,73,40,9.22
207,Calvinia,ZA,2022-07-13 17:22:16,-31.4707,19.776,48.42,47,0,6.67
208,Sao Jose Da Coroa Grande,BR,2022-07-13 17:22:16,-8.8978,-35.1478,79.5,72,92,14.54
209,Buchanan,LR,2022-07-13 17:22:16,5.8808,-10.0467,78.82,80,100,12.24
210,Katobu,ID,2022-07-13 17:22:17,-4.9408,122.5276,72.77,86,45,4.34
211,Thinadhoo,MV,2022-07-13 17:22:17,0.5333,72.9333,83.77,74,76,13.13
212,Cidreira,BR,2022-07-13 17:22:17,-30.1811,-50.2056,57.24,68,0,13.47
213,Payo,ID,2022-07-13 17:22:17,-3.7508,103.6372,73.62,96,100,2.28
214,Margate,GB,2022-07-13 17:22:18,51.3813,1.3862,76.1,78,100,4.0
215,Eatonton,US,2022-07-13 17:20:56,33.3268,-83.3885,88.81,84,95,5.55
216,Nguruka,TZ,2022-07-13 17:22:18,-5.1092,31.0419,72.82,39,70,4.25
217,Dikson,RU,2022-07-13 17:17:24,73.5069,80.5464,40.89,79,5,13.33
218,Westport,US,2022-07-13 17:22:19,41.1415,-73.3579,91.42,54,1,1.99
219,Vila Velha,BR,2022-07-13 17:21:48,-20.3297,-40.2925,85.95,75,20,12.66
220,Srednekolymsk,RU,2022-07-13 17:22:19,67.45,153.6833,56.79,57,100,12.44
221,Stromness,GB,2022-07-13 17:22:19,58.965,-3.296,57.16,81,81,13.0
222,Alice Springs,AU,2022-07-13 17:22:20,-23.7,133.8833,31.55,74,0,0.0
223,Ahuimanu,US,2022-07-13 17:22:20,21.4447,-157.8378,78.51,82,100,12.66
224,Anadyr,RU,2022-07-13 17:22:20,64.75,177.4833,52.3,93,75,8.95
225,Baoning,CN,2022-07-13 17:22:21,25.3378,110.026,78.66,94,0,2.24
226,Saint-Joseph,RE,2022-07-13 17:22:21,-21.3667,55.6167,68.38,78,44,11.99
227,Lodja,CD,2022-07-13 17:22:21,-3.4833,23.4333,81.66,35,75,2.42
228,Kununurra,AU,2022-07-13 17:23:22,-15.7667,128.7333,66.18,26,28,10.36
229,Banda Aceh,ID,2022-07-13 17:23:22,5.5577,95.3222,80.26,82,100,9.66
230,Traverse City,US,2022-07-13 17:18:24,44.7631,-85.6206,75.72,58,75,6.91
231,Slave Lake,CA,2022-07-13 17:21:27,55.2834,-114.769,64.38,55,40,13.8
232,Frankfort,ZA,2022-07-13 17:23:23,-27.2667,28.4833,51.96,36,2,6.8
233,Cartagena,CO,2022-07-13 17:19:34,10.3997,-75.5144,85.62,74,40,5.75
234,Gondanglegi,ID,2022-07-13 17:23:23,-7.7479,112.0132,74.05,92,61,8.41
235,Saint-Georges,GD,2022-07-13 17:23:23,12.0564,-61.7485,85.68,66,20,20.71
236,Dabat,ET,2022-07-13 17:23:24,12.9842,37.765,53.44,92,100,1.34
237,Tairua,NZ,2022-07-13 17:23:09,-37.0167,175.85,54.64,91,100,8.01
238,Namatanai,PG,2022-07-13 17:23:24,-3.6667,152.4333,79.09,86,100,6.82
239,Clyde River,CA,2022-07-13 17:20:00,70.4692,-68.5914,41.23,87,20,16.11
240,Sechura,PE,2022-07-13 17:23:24,-5.5569,-80.8222,72.63,58,43,9.8
241,Shambu,ET,2022-07-13 17:23:25,9.5667,37.1,51.39,95,79,1.12
242,Port Lincoln,AU,2022-07-13 17:23:25,-34.7333,135.8667,51.73,83,6,5.59
243,Hailar,CN,2022-07-13 17:23:25,49.2,119.7,60.42,96,100,8.63
244,Whyalla,AU,2022-07-13 17:23:26,-33.0333,137.5833,48.16,80,2,4.18
245,Tasiilaq,GL,2022-07-13 17:18:29,65.6145,-37.6368,53.76,79,21,3.85
