City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Talnakh,RU,69.4865,88.3972,54.21,70,9,0.69,clear sky
277,Lahad Datu,MY,5.0268,118.327,75.13,93,85,2.01,overcast clouds
278,Potosi,BO,-19.5836,-65.7531,49.41,11,16,28.05,few clouds
279,Acarau,BR,-2.8856,-40.12,81.01,71,63,15.26,broken clouds
280,Leningradskiy,RU,69.3833,178.4167,40.12,70,100,5.28,overcast clouds
281,Mitu,CO,1.1983,-70.1733,72.91,95,100,1.88,overcast clouds
282,Kota Kinabalu,MY,5.9749,116.0724,75.18,83,20,5.01,few clouds
283,Port Hedland,AU,-20.3167,118.5667,53.65,66,5,8.05,clear sky
284,Milkovo,RU,54.7167,158.6167,65.23,78,30,5.39,scattered clouds
285,Ashtian,IR,34.5217,50.0019,72.55,16,0,14.23,clear sky
286,Coffeyville,US,37.0373,-95.6164,101.01,30,0,16.11,clear sky
287,Amahai,ID,-3.3333,128.9167,76.59,92,99,6.55,light rain
288,Antipolo,PH,14.5864,121.1753,77.99,90,100,1.1,overcast clouds
289,Wamba,NG,8.9333,8.6,72.46,95,100,2.73,moderate rain
290,Lamar,US,33.6668,-95.5836,103.98,24,0,8.08,clear sky
291,Lompoc,US,34.6391,-120.4579,93.02,65,4,8.01,clear sky
292,Najran,SA,17.4924,44.1277,88.16,21,100,4.79,overcast clouds
293,San Patricio,US,28.017,-97.5169,88.84,57,100,11.65,overcast clouds
294,Aquidauana,BR,-20.4711,-55.7872,92.28,23,98,9.46,overcast clouds
295,Gamba,GA,-2.65,10.0,69.6,95,3,5.1,clear sky
296,Mount Gambier,AU,-37.8333,140.7667,47.53,72,100,14.67,moderate rain
297,Saurimo,AO,-9.6608,20.3916,65.08,39,0,4.43,clear sky
298,Kavieng,PG,-2.5744,150.7967,81.23,77,100,9.91,overcast clouds
299,Smoky Lake,CA,54.1169,-112.4686,77.2,55,76,8.68,broken clouds
300,Dubai,AE,25.2582,55.3047,102.13,30,0,10.36,clear sky
301,Cabedelo,BR,-6.9811,-34.8339,77.0,82,6,15.68,clear sky
302,Alad,PH,12.6168,122.2475,83.5,74,45,3.24,light rain
303,Zaragoza,ES,41.6561,-0.8773,96.85,24,0,5.75,clear sky
304,Behshahr,IR,36.6923,53.5526,77.67,72,0,5.21,clear sky
305,Praia Da Vitoria,PT,38.7333,-27.0667,74.75,75,18,17.34,few clouds
306,Chicama,PE,-7.8447,-79.1469,69.8,62,10,11.23,clear sky
307,Esperance,AU,-33.8667,121.9,59.07,76,100,14.0,overcast clouds
308,Katsuura,JP,35.1333,140.3,74.7,95,100,8.86,overcast clouds
309,Sanandrei,RO,45.8531,21.1681,75.94,34,0,8.05,clear sky
310,Tolbazy,RU,54.0241,55.8825,59.5,94,9,7.83,clear sky
311,Lagoa,PT,39.05,-27.9833,69.46,89,12,15.26,few clouds
312,Thanh Hoa,VN,19.8,105.7667,79.0,92,17,2.75,few clouds
313,Dovolnoye,RU,54.4958,79.6671,53.64,77,0,5.66,clear sky
314,Kananga,CD,-5.8958,22.4178,81.41,32,69,0.58,broken clouds
315,Shieli,KZ,44.1667,66.75,82.85,16,0,9.51,clear sky
316,Merauke,ID,-8.4667,140.3333,74.07,79,100,14.97,overcast clouds
317,Lufilufi,WS,-13.8745,-171.5986,77.79,81,30,20.76,light rain
318,Basco,PH,20.4487,121.9702,84.72,84,100,20.51,overcast clouds
319,Toktogul,KG,41.8708,72.9402,70.74,38,66,1.48,broken clouds
320,Runkel,DE,50.4,8.1667,70.07,64,1,4.09,clear sky
321,Tanout,NE,14.9709,8.8879,81.46,61,100,6.8,moderate rain
322,Kahului,US,20.8947,-156.47,85.96,80,12,11.99,few clouds
323,Las Cruces,US,32.3123,-106.7783,101.61,20,0,7.0,clear sky
324,Kariba,ZW,-16.5167,28.8,65.32,45,50,2.91,scattered clouds
325,Hobyo,SO,5.3505,48.5268,77.79,79,60,23.4,broken clouds
326,Haines Junction,CA,60.7522,-137.5108,52.32,91,100,1.57,overcast clouds
327,Llangefni,GB,53.2556,-4.3106,62.73,72,100,4.61,overcast clouds
328,Fortuna,US,40.5982,-124.1573,70.93,69,0,4.0,clear sky
